year,sex,name,n,prop
1896,F,Lempi,11,4.365e-5
1896,F,Mai,6,2.381e-5
1896,M,Levi,68,5.2684e-4
1896,M,Eli,43,3.3315e-4
1896,M,Henri,8,6.198e-5
1897,F,Naomi,241,9.707e-4
1897,F,Missouri,14,5.639e-5
1897,F,Vashti,10,4.028e-5
1897,F,Lempi,7,2.819e-5
1897,F,Mari,5,2.014e-5
1897,M,Levi,59,4.8384e-4
1897,M,Eli,39,3.1982e-4
1897,M,Malachi,6,4.92e-5
1898,F,Naomi,264,9.63e-4
1898,F,Missouri,23,8.39e-5
1898,F,Vashti,11,4.012e-5
1898,F,Mai,8,2.918e-5
1898,F,Patti,7,2.553e-5
1898,F,Helmi,5,1.824e-5
1898,F,Lempi,5,1.824e-5
1898,M,Levi,61,4.6176e-4
1898,M,Eli,46,3.4821e-4
1899,F,Naomi,272,0.00109903
1899,F,Missouri,18,7.273e-5
1899,F,Lempi,14,5.657e-5
1899,F,Vashti,9,3.637e-5
1899,M,Levi,63,5.4691e-4
1899,M,Eli,38,3.2988e-4
1900,F,Naomi,307,9.6616e-4
1900,F,Missouri,24,7.553e-5
1900,F,Vashti,13,4.091e-5
1900,F,Lempi,6,1.888e-5
1900,F,Helmi,5,1.574e-5
1900,F,Mimi,5,1.574e-5
1900,M,Levi,95,5.8594e-4
1900,M,Eli,45,2.7755e-4
1900,M,Henri,5,3.084e-5
1900,M,Luigi,5,3.084e-5
1900,M,Malachi,5,3.084e-5
1901,F,Naomi,256,0.00100697
1901,F,Missouri,18,7.08e-5
1901,F,Vashti,11,4.327e-5
1901,F,Lempi,10,3.933e-5
1901,F,Helmi,6,2.36e-5
1901,F,Aili,5,1.967e-5
1901,M,Eli,45,3.8929e-4
1901,M,Levi,41,3.5469e-4
1902,F,Naomi,327,0.00116647
1902,F,Missouri,33,1.1772e-4
1902,F,Vashti,20,7.134e-5
1902,F,Lempi,10,3.567e-5
1902,F,Helmi,5,1.784e-5
1902,F,Mai,5,1.784e-5
1902,M,Levi,55,4.1431e-4
1902,M,Eli,51,3.8418e-4
1902,M,Malachi,8,6.026e-5
1902,M,Luigi,6,4.52e-5
1903,F,Naomi,355,0.00127608
1903,F,Missouri,28,1.0065e-4
1903,F,Vashti,15,5.392e-5
1903,F,Lempi,10,3.595e-5
1903,F,Mimi,7,2.516e-5
1903,F,Mari,5,1.797e-5
1903,F,Siiri,5,1.797e-5
1903,M,Levi,68,5.258e-4
1903,M,Eli,47,3.6342e-4
1903,M,Malachi,5,3.866e-5
1904,F,Naomi,350,0.00119684
1904,F,Missouri,21,7.181e-5
1904,F,Vashti,18,6.155e-5
1904,F,Lempi,14,4.787e-5
1904,F,Helmi,10,3.42e-5
1904,F,Henri,7,2.394e-5
1904,F,Aili,6,2.052e-5
1904,F,Impi,5,1.71e-5
1904,M,Levi,68,4.9095e-4
1904,M,Eli,43,3.1045e-4
1904,M,Malachi,6,4.332e-5
1905,F,Naomi,361,0.00116502
1905,F,Missouri,24,7.745e-5
1905,F,Helmi,12,3.873e-5
1905,F,Vashti,10,3.227e-5
1905,F,Aili,8,2.582e-5
1905,F,Lempi,7,2.259e-5
1905,F,Saimi,7,2.259e-5
1905,F,Impi,6,1.936e-5
1905,F,Mai,5,1.614e-5
1905,M,Levi,63,4.3983e-4
1905,M,Eli,43,3.002e-4
1905,M,Luigi,6,4.189e-5
1905,M,Henri,5,3.491e-5
1905,M,Malachi,5,3.491e-5
1906,F,Naomi,372,0.00118683
1906,F,Missouri,20,6.381e-5
1906,F,Aili,13,4.148e-5
1906,F,Lempi,12,3.828e-5
1906,F,Vashti,9,2.871e-5
1906,F,Helmi,8,2.552e-5
1906,F,Mitzi,5,1.595e-5
1906,M,Levi,56,3.887e-4
1906,M,Eli,44,3.054e-4
1906,M,Henri,7,4.859e-5
1907,F,Naomi,410,0.00121505
1907,F,Vashti,16,4.7420000000000003e-05
1907,F,Missouri,15,4.445e-5
1907,F,Aili,14,4.149e-5
1907,F,Lempi,12,3.556e-5
1907,F,Mai,11,3.26e-5
1907,F,Helmi,9,2.667e-5
1907,F,Mitzi,9,2.667e-5
1907,F,Toni,8,2.3710000000000002e-05
1907,F,Fritzi,7,2.074e-5
1907,F,Patti,5,1.482e-5
1907,M,Levi,61,3.8465e-4
1907,M,Eli,50,3.1528e-4
1907,M,Giovanni,10,6.306e-5
1907,M,Luigi,7,4.414e-5
1907,M,Henri,6,3.783e-5
1907,M,Malachi,5,3.153e-5
1908,F,Naomi,458,0.00129185
1908,F,Missouri,28,7.898e-5
1908,F,Lempi,15,4.231e-5
1908,F,Vashti,13,3.667e-5
1908,F,Helmi,12,3.385e-5
1908,F,Mitzi,7,1.974e-5
1908,F,Mimi,6,1.692e-5
1908,M,Levi,75,4.5081e-4
1908,M,Eli,55,3.3059e-4
1908,M,Malachi,10,6.011e-5
1908,M,Luigi,6,3.606e-5
1909,F,Naomi,504,0.00136921
1909,F,Missouri,24,6.52e-5
1909,F,Aili,22,5.977e-5
1909,F,Lempi,13,3.532e-5
1909,F,Vashti,12,3.26e-5
1909,F,Helmi,9,2.445e-5
1909,F,Mai,8,2.173e-5
1909,F,Mimi,6,1.63e-5
1909,F,Patti,6,1.63e-5
1909,F,Mitzi,5,1.358e-5
1909,M,Levi,82,4.6363e-4
1909,M,Eli,60,3.3924e-4
1909,M,Giovanni,8,4.523e-5
1909,M,Malachi,7,3.958e-5
1909,M,Henri,6,3.392e-5
1910,F,Naomi,502,0.00119659
1910,F,Missouri,24,5.721e-5
1910,F,Aili,20,4.767e-5
1910,F,Mitzi,13,3.099e-5
1910,F,Lempi,12,2.86e-5
1910,F,Mimi,12,2.86e-5
1910,F,Toni,9,2.145e-5
1910,F,Vashti,8,1.907e-5
1910,F,Helmi,5,1.192e-5
1910,M,Levi,69,3.309e-4
1910,M,Eli,63,3.0213e-4
1910,M,Malachi,12,5.755e-5
1910,M,Luigi,10,4.796e-5
1910,M,Giovanni,5,2.398e-5
1910,M,Kiyoshi,5,2.398e-5
1911,F,Naomi,585,0.0013240700000000001
1911,F,Missouri,16,3.621e-5
1911,F,Helmi,15,3.395e-5
1911,F,Aili,13,2.942e-5
1911,F,Lempi,13,2.942e-5
1911,F,Mitzi,13,2.942e-5
1911,F,Vashti,11,2.49e-5
1911,F,Mimi,9,2.037e-5
1911,F,Taimi,9,2.037e-5
1911,F,Toni,9,2.037e-5
1911,F,Neomi,7,1.584e-5
1911,F,Fumi,6,1.358e-5
1911,F,Mai,6,1.358e-5
1911,M,Levi,87,3.6041e-4
1911,M,Eli,81,3.3555e-4
1911,M,Henri,14,5.8e-5
1911,M,Giovanni,8,3.314e-5
1911,M,Luigi,6,2.486e-5
1911,M,Malachi,6,2.486e-5
1912,F,Naomi,834,0.00142148
1912,F,Missouri,27,4.602e-5
1912,F,Vashti,23,3.92e-5
1912,F,Mimi,14,2.386e-5
1912,F,Aili,13,2.216e-5
1912,F,Helmi,12,2.045e-5
1912,F,Mitzi,12,2.045e-5
1912,F,Lempi,10,1.704e-5
1912,F,Patti,8,1.364e-5
1912,F,Toni,8,1.364e-5
1912,F,Helvi,7,1.193e-5
1912,F,Mai,7,1.193e-5
1912,F,Impi,6,1.023e-5
1912,F,Lili,6,1.023e-5
1912,F,Saimi,6,1.023e-5
1912,F,Sari,6,1.023e-5
1912,F,Taimi,6,1.023e-5
1912,F,Lilli,5,8.52e-6
1912,F,Neomi,5,8.52e-6
1912,F,Toini,5,8.52e-6
1912,M,Eli,159,3.5219e-4
1912,M,Levi,116,2.5695e-4
1912,M,Luigi,17,3.766e-5
1912,M,Malachi,17,3.766e-5
1912,M,Henri,16,3.544e-5
1912,M,Giovanni,13,2.88e-5
1912,M,Hiroshi,10,2.215e-5
1912,M,Kiyoshi,9,1.994e-5
1912,M,Tadashi,9,1.994e-5
1912,M,Takeshi,7,1.551e-5
1912,M,Lauri,6,1.329e-5
1912,M,Mordecai,6,1.329e-5
1912,M,Masaaki,5,1.108e-5
1912,M,Masaichi,5,1.108e-5
1912,M,Masami,5,1.108e-5
1912,M,Satoshi,5,1.108e-5
1912,M,Shoichi,5,1.108e-5
1913,F,Naomi,840,0.00128261
1913,F,Vashti,22,3.359e-5
1913,F,Missouri,20,3.054e-5
1913,F,Aili,19,2.901e-5
1913,F,Helmi,14,2.138e-5
1913,F,Taimi,11,1.68e-5
1913,F,Fritzi,10,1.527e-5
1913,F,Mimi,9,1.374e-5
1913,F,Toni,9,1.374e-5
1913,F,Helvi,8,1.222e-5
1913,F,Lempi,8,1.222e-5
1913,F,Mitzi,8,1.222e-5
1913,F,Mai,7,1.069e-5
1913,F,Mari,7,1.069e-5
1913,F,Trini,7,1.069e-5
1913,F,Elvi,6,9.16e-6
1913,F,Henri,6,9.16e-6
1913,F,Impi,6,9.16e-6
1913,F,Neomi,5,7.63e-6
1913,F,Patti,5,7.63e-6
1913,M,Eli,167,3.1142e-4
1913,M,Levi,137,2.5548e-4
1913,M,Luigi,28,5.221e-5
1913,M,Malachi,21,3.916e-5
1913,M,Hiroshi,19,3.543e-5
1913,M,Henri,17,3.17e-5
1913,M,Giovanni,16,2.984e-5
1913,M,Tadashi,13,2.424e-5
1913,M,Masaji,11,2.051e-5
1913,M,Takashi,11,2.051e-5
1913,M,Masami,10,1.865e-5
1913,M,Mordecai,9,1.678e-5
1913,M,Katsumi,8,1.492e-5
1913,M,Lauri,8,1.492e-5
1913,M,Takeshi,8,1.492e-5
1913,M,Kiyoshi,7,1.305e-5
1913,M,Onni,7,1.305e-5
1913,M,Shoji,6,1.119e-5
1913,M,Kenji,5,9.32e-6
1913,M,Masaaki,5,9.32e-6
1913,M,Masaichi,5,9.32e-6
1913,M,Masashi,5,9.32e-6
1913,M,Seichi,5,9.32e-6
1913,M,Uri,5,9.32e-6
1913,M,Verdi,5,9.32e-6
1914,F,Naomi,1128,0.00141598
1914,F,Aili,27,3.389e-5
1914,F,Missouri,24,3.013e-5
1914,F,Vashti,24,3.013e-5
1914,F,Helmi,18,2.26e-5
1914,F,Mimi,18,2.26e-5
1914,F,Toni,17,2.134e-5
1914,F,Lempi,16,2.008e-5
1914,F,Patti,16,2.008e-5
1914,F,Mai,12,1.506e-5
1914,F,Cumi,11,1.381e-5
1914,F,Mari,11,1.381e-5
1914,F,Neomi,11,1.381e-5
1914,F,Helvi,10,1.255e-5
1914,F,Vicki,10,1.255e-5
1914,F,Mitzi,9,1.13e-5
1914,F,Taimi,9,1.13e-5
1914,F,Harumi,6,7.53e-6
1914,F,Toini,6,7.53e-6
1914,F,Yoshi,6,7.53e-6
1914,F,Fritzi,5,6.28e-6
1914,F,Henri,5,6.28e-6
1914,F,Lili,5,6.28e-6
1914,M,Eli,208,3.0439e-4
1914,M,Levi,193,2.8244e-4
1914,M,Luigi,29,4.244e-5
1914,M,Hiroshi,20,2.927e-5
1914,M,Tadashi,19,2.781e-5
1914,M,Henri,18,2.634e-5
1914,M,Giovanni,17,2.488e-5
1914,M,Kiyoshi,17,2.488e-5
1914,M,Malachi,13,1.902e-5
1914,M,Masami,13,1.902e-5
1914,M,Isami,10,1.463e-5
1914,M,Kenji,9,1.317e-5
1914,M,Masayoshi,9,1.317e-5
1914,M,Mordecai,8,1.171e-5
1914,M,Santi,8,1.171e-5
1914,M,Takeshi,8,1.171e-5
1914,M,Ahti,7,1.024e-5
1914,M,Masaichi,7,1.024e-5
1914,M,Onni,7,1.024e-5
1914,M,Shoichi,7,1.024e-5
1914,M,Katsumi,6,8.78e-6
1914,M,Seiji,6,8.78e-6
1914,M,Ali,5,7.32e-6
1914,M,Koichi,5,7.32e-6
1914,M,Nobuyoshi,5,7.32e-6
1914,M,Olavi,5,7.32e-6
1915,F,Naomi,1548,0.0015119
1915,F,Helmi,27,2.637e-5
1915,F,Missouri,27,2.637e-5
1915,F,Aili,25,2.442e-5
1915,F,Lempi,23,2.246e-5
1915,F,Vashti,23,2.246e-5
1915,F,Mitzi,20,1.953e-5
1915,F,Toni,18,1.758e-5
1915,F,Neomi,16,1.563e-5
1915,F,Mimi,14,1.367e-5
1915,F,Patti,13,1.27e-5
1915,F,Mai,12,1.172e-5
1915,F,Vicki,12,1.172e-5
1915,F,Elvi,11,1.074e-5
1915,F,Mari,11,1.074e-5
1915,F,Helvi,10,9.77e-6
1915,F,Taimi,10,9.77e-6
1915,F,Henri,9,8.79e-6
1915,F,Toini,8,7.81e-6
1915,F,Toshi,8,7.81e-6
1915,F,Cumi,7,6.84e-6
1915,F,Harumi,7,6.84e-6
1915,F,Kimi,7,6.84e-6
1915,F,Midori,7,6.84e-6
1915,F,Sari,7,6.84e-6
1915,F,Fritzi,6,5.86e-6
1915,F,Fumi,6,5.86e-6
1915,F,Satsuki,6,5.86e-6
1915,F,Yoshimi,6,5.86e-6
1915,F,Yuki,6,5.86e-6
1915,F,Billi,5,4.88e-6
1915,F,Noemi,5,4.88e-6
1915,M,Eli,269,3.0536e-4
1915,M,Levi,218,2.4746e-4
1915,M,Hiroshi,50,5.676e-5
1915,M,Luigi,40,4.541e-5
1915,M,Kiyoshi,31,3.519e-5
1915,M,Henri,25,2.838e-5
1915,M,Giovanni,23,2.611e-5
1915,M,Malachi,19,2.157e-5
1915,M,Tadashi,19,2.157e-5
1915,M,Takashi,16,1.816e-5
1915,M,Takeshi,16,1.816e-5
1915,M,Antoni,12,1.362e-5
1915,M,Kenichi,12,1.362e-5
1915,M,Seichi,11,1.249e-5
1915,M,Kazumi,10,1.135e-5
1915,M,Lauri,10,1.135e-5
1915,M,Satoshi,10,1.135e-5
1915,M,Hitoshi,8,9.08e-6
1915,M,Masashi,8,9.08e-6
1915,M,Olavi,8,9.08e-6
1915,M,Remi,8,9.08e-6
1915,M,Isami,7,7.95e-6
1915,M,Naomi,7,7.95e-6
1915,M,Katsumi,6,6.81e-6
1915,M,Kenji,6,6.81e-6
1915,M,Masayoshi,6,6.81e-6
1915,M,Onni,6,6.81e-6
1915,M,Rocci,6,6.81e-6
1915,M,Shinichi,6,6.81e-6
1915,M,Masami,5,5.68e-6
1915,M,Masayuki,5,5.68e-6
1915,M,Mitsugi,5,5.68e-6
1915,M,Saichi,5,5.68e-6
1915,M,Soichi,5,5.68e-6
1915,M,Toshiyuki,5,5.68e-6
1916,F,Naomi,1649,0.00151881
1916,F,Mimi,31,2.855e-5
1916,F,Missouri,31,2.855e-5
1916,F,Vashti,27,2.487e-5
1916,F,Aili,25,2.303e-5
1916,F,Helmi,22,2.026e-5
1916,F,Helvi,22,2.026e-5
1916,F,Toni,22,2.026e-5
1916,F,Lempi,19,1.75e-5
1916,F,Patti,17,1.566e-5
1916,F,Mari,14,1.289e-5
1916,F,Mitzi,14,1.289e-5
1916,F,Toini,14,1.289e-5
1916,F,Taimi,13,1.197e-5
1916,F,Henri,12,1.105e-5
1916,F,Vicki,12,1.105e-5
1916,F,Sari,11,1.013e-5
1916,F,Elvi,10,9.21e-6
1916,F,Mai,10,9.21e-6
1916,F,Cumi,9,8.29e-6
1916,F,Fumi,9,8.29e-6
1916,F,Michi,9,8.29e-6
1916,F,Neomi,9,8.29e-6
1916,F,Noami,7,6.45e-6
1916,F,Toshi,7,6.45e-6
1916,F,Betti,6,5.53e-6
1916,F,Eli,6,5.53e-6
1916,F,Emi,6,5.53e-6
1916,F,Fifi,6,5.53e-6
1916,F,Fritzi,6,5.53e-6
1916,F,Kimi,6,5.53e-6
1916,F,Midori,6,5.53e-6
1916,F,Siiri,6,5.53e-6
1916,F,Yuki,6,5.53e-6
1916,F,Alli,5,4.61e-6
1916,F,Harumi,5,4.61e-6
1916,F,Lili,5,4.61e-6
1916,F,Lorelei,5,4.61e-6
1916,F,Ormi,5,4.61e-6
1916,F,Sumi,5,4.61e-6
1916,F,Tomi,5,4.61e-6
1916,F,Vi,5,4.61e-6
1916,F,Yoshi,5,4.61e-6
1916,M,Eli,271,2.9353e-4
1916,M,Levi,214,2.3179e-4
1916,M,Hiroshi,45,4.874e-5
1916,M,Kiyoshi,39,4.224e-5
1916,M,Henri,31,3.358e-5
1916,M,Luigi,30,3.249e-5
1916,M,Giovanni,27,2.924e-5
1916,M,Tadashi,17,1.841e-5
1916,M,Kenichi,15,1.625e-5
1916,M,Isami,14,1.516e-5
1916,M,Takashi,14,1.516e-5
1916,M,Malachi,13,1.408e-5
1916,M,Masayuki,12,1.3e-5
1916,M,Takeshi,12,1.3e-5
1916,M,Katsumi,11,1.191e-5
1916,M,Tatsumi,11,1.191e-5
1916,M,Kenji,10,1.083e-5
1916,M,Masaji,10,1.083e-5
1916,M,Lauri,8,8.66e-6
1916,M,Masami,8,8.66e-6
1916,M,Mordecai,8,8.66e-6
1916,M,Shinichi,8,8.66e-6
1916,M,Shoichi,8,8.66e-6
1916,M,Antoni,7,7.58e-6
1916,M,Kazumi,7,7.58e-6
1916,M,Masaichi,7,7.58e-6
1916,M,Masayoshi,7,7.58e-6
1916,M,Olavi,7,7.58e-6
1916,M,Fiori,6,6.5e-6
1916,M,Hisashi,6,6.5e-6
1916,M,Masashi,6,6.5e-6
1916,M,Seichi,6,6.5e-6
1916,M,Toshiyuki,6,6.5e-6
1916,M,Anselmi,5,5.42e-6
1916,M,Arvi,5,5.42e-6
1916,M,Carmi,5,5.42e-6
1916,M,Harumi,5,5.42e-6
1916,M,Koichi,5,5.42e-6
1916,M,Masanori,5,5.42e-6
1916,M,Satoshi,5,5.42e-6
1916,M,Toni,5,5.42e-6
1917,F,Naomi,1619,0.00144078
1917,F,Missouri,38,3.382e-5
1917,F,Toni,29,2.581e-5
1917,F,Aili,25,2.225e-5
1917,F,Helmi,25,2.225e-5
1917,F,Mimi,25,2.225e-5
1917,F,Vashti,20,1.78e-5
1917,F,Elvi,18,1.602e-5
1917,F,Mitzi,18,1.602e-5
1917,F,Taimi,16,1.424e-5
1917,F,Mari,15,1.335e-5
1917,F,Helvi,14,1.246e-5
1917,F,Henri,12,1.068e-5
1917,F,Lempi,12,1.068e-5
1917,F,Toini,12,1.068e-5
1917,F,Impi,11,9.79e-6
1917,F,Midori,11,9.79e-6
1917,F,Sari,11,9.79e-6
1917,F,Mai,10,8.9e-6
1917,F,Neomi,10,8.9e-6
1917,F,Harumi,9,8.01e-6
1917,F,Patti,9,8.01e-6
1917,F,Betti,8,7.12e-6
1917,F,Fifi,8,7.12e-6
1917,F,Noami,8,7.12e-6
1917,F,Noemi,8,7.12e-6
1917,F,Vicki,8,7.12e-6
1917,F,Fumi,7,6.23e-6
1917,F,Sumi,7,6.23e-6
1917,F,Alli,6,5.34e-6
1917,F,Toshi,6,5.34e-6
1917,F,Cumi,5,4.45e-6
1917,F,Elmi,5,4.45e-6
1917,F,Fritzi,5,4.45e-6
1917,F,Hatsumi,5,4.45e-6
1917,F,Kiyomi,5,4.45e-6
1917,F,Lani,5,4.45e-6
1917,F,Leilani,5,4.45e-6
1917,F,Meri,5,4.45e-6
1917,F,Saimi,5,4.45e-6
1917,F,Trini,5,4.45e-6
1917,M,Eli,246,2.5643e-4
1917,M,Levi,203,2.1161e-4
1917,M,Hiroshi,46,4.795e-5
1917,M,Luigi,40,4.17e-5
1917,M,Kiyoshi,38,3.961e-5
1917,M,Masami,35,3.648e-5
1917,M,Tadashi,34,3.544e-5
1917,M,Henri,31,3.231e-5
1917,M,Takashi,26,2.71e-5
1917,M,Giovanni,20,2.085e-5
1917,M,Malachi,18,1.876e-5
1917,M,Antoni,15,1.564e-5
1917,M,Kenji,15,1.564e-5
1917,M,Takeshi,14,1.459e-5
1917,M,Masayuki,13,1.355e-5
1917,M,Katsumi,12,1.251e-5
1917,M,Isami,9,9.38e-6
1917,M,Masayoshi,9,9.38e-6
1917,M,Satoshi,9,9.38e-6
1917,M,Seichi,9,9.38e-6
1917,M,Shoji,9,9.38e-6
1917,M,Tatsumi,9,9.38e-6
1917,M,Yoshimi,9,9.38e-6
1917,M,Kazumi,8,8.34e-6
1917,M,Kenichi,8,8.34e-6
1917,M,Koichi,8,8.34e-6
1917,M,Lauri,8,8.34e-6
1917,M,Masashi,8,8.34e-6
1917,M,Dimitri,7,7.3e-6
1917,M,Hitoshi,7,7.3e-6
1917,M,Masaichi,7,7.3e-6
1917,M,Shinichi,7,7.3e-6
1917,M,Ahti,6,6.25e-6
1917,M,Guiseppi,6,6.25e-6
1917,M,Mitsugi,6,6.25e-6
1917,M,Onni,6,6.25e-6
1917,M,Seiki,6,6.25e-6
1917,M,Toni,6,6.25e-6
1917,M,Toshiaki,6,6.25e-6
1917,M,Toshiyuki,6,6.25e-6
1917,M,Tsuyoshi,6,6.25e-6
1917,M,Atsushi,5,5.21e-6
1917,M,Hisashi,5,5.21e-6
1917,M,Masaji,5,5.21e-6
1917,M,Masanori,5,5.21e-6
1917,M,Seiji,5,5.21e-6
1917,M,Shigetoshi,5,5.21e-6
1918,F,Naomi,1692,0.00140723
1918,F,Aili,36,2.994e-5
1918,F,Vashti,34,2.828e-5
1918,F,Helmi,29,2.412e-5
1918,F,Toni,29,2.412e-5
1918,F,Mitzi,28,2.329e-5
1918,F,Missouri,25,2.079e-5
1918,F,Vicki,23,1.913e-5
1918,F,Mari,20,1.663e-5
1918,F,Mimi,18,1.497e-5
1918,F,Lempi,17,1.414e-5
1918,F,Henri,15,1.248e-5
1918,F,Patti,15,1.248e-5
1918,F,Helvi,14,1.164e-5
1918,F,Fumi,12,9.98e-6
1918,F,Toini,12,9.98e-6
1918,F,Elvi,11,9.15e-6
1918,F,Hatsumi,11,9.15e-6
1918,F,Neomi,11,9.15e-6
1918,F,Taimi,11,9.15e-6
1918,F,Harumi,10,8.32e-6
1918,F,Kimi,9,7.49e-6
1918,F,Jeri,8,6.65e-6
1918,F,Mai,8,6.65e-6
1918,F,Sari,8,6.65e-6
1918,F,Michi,7,5.82e-6
1918,F,Fifi,6,4.99e-6
1918,F,Kiyomi,6,4.99e-6
1918,F,Lili,6,4.99e-6
1918,F,Midori,6,4.99e-6
1918,F,Sumi,6,4.99e-6
1918,F,Cumi,5,4.16e-6
1918,F,Emi,5,4.16e-6
1918,F,Geri,5,4.16e-6
1918,F,Noami,5,4.16e-6
1918,F,Siiri,5,4.16e-6
1918,F,Toshi,5,4.16e-6
1918,F,Trini,5,4.16e-6
1918,M,Eli,287,2.7368e-4
1918,M,Levi,251,2.3935e-4
1918,M,Hiroshi,42,4.005e-5
1918,M,Kiyoshi,42,4.005e-5
1918,M,Henri,37,3.528e-5
1918,M,Luigi,29,2.765e-5
1918,M,Takeshi,24,2.289e-5
1918,M,Giovanni,23,2.193e-5
1918,M,Tadashi,23,2.193e-5
1918,M,Kenichi,22,2.098e-5
1918,M,Masaichi,21,2.003e-5
1918,M,Kenji,17,1.621e-5
1918,M,Masami,17,1.621e-5
1918,M,Takashi,17,1.621e-5
1918,M,Remi,15,1.43e-5
1918,M,Seichi,15,1.43e-5
1918,M,Isami,14,1.335e-5
1918,M,Malachi,14,1.335e-5
1918,M,Masayoshi,13,1.24e-5
1918,M,Koichi,12,1.144e-5
1918,M,Antoni,11,1.049e-5
1918,M,Masayuki,11,1.049e-5
1918,M,Lauri,10,9.54e-6
1918,M,Masashi,10,9.54e-6
1918,M,Masatoshi,10,9.54e-6
1918,M,Yoshiaki,10,9.54e-6
1918,M,Satoshi,9,8.58e-6
1918,M,Katsumi,8,7.63e-6
1918,M,Kazumi,8,7.63e-6
1918,M,Yoshimi,8,7.63e-6
1918,M,Hisashi,7,6.68e-6
1918,M,Hitoshi,7,6.68e-6
1918,M,Yoshiyuki,7,6.68e-6
1918,M,Eiichi,6,5.72e-6
1918,M,Masaji,6,5.72e-6
1918,M,Naomi,6,5.72e-6
1918,M,Onni,6,5.72e-6
1918,M,Shinichi,6,5.72e-6
